dateS,yearS,mov ave,7 year mov ave,weighted
1749,80.925,,,
1750,83.39166667,,,
1751,47.65833333,58.09,,56.46166667
1752,47.8,44.34833333,44.6047619,44.3475
1753,30.675,29.58333333,34.5,29.99583333
1754,12.21666667,22.09,27.21904762,18.73416667
1755,9.566666667,19.015,27.21071429,14.61833333
1756,10.19166667,22.4,28.09166667,18.45666667
1757,32.425,30.75,32.68928571,30.88166667
1758,47.6,41.40833333,43.20833333,43.62333333
1759,53.96666667,56.54,50.57738095,55.50583333
1760,62.85833333,62.285,55.56666667,63.98166667
1761,85.85,61.78833333,56.12738095,69.05
1762,61.15,58.265,52.31428571,60.57416667
1763,45.11666667,49.875,46.23452381,48.2225
1764,36.35,34.98666667,42.65833333,35.00083333
1765,20.90833333,30.32166667,40.37142857,26.20916667
1766,11.40833333,35.26666667,46.79166667,26.92916667
1767,37.825,49.215,54.74642857,44.08
1768,69.84166667,65.19333333,61.20833333,67.94083333
1769,106.0916667,79.22833333,67.7202381,88.50583333
1770,100.8,84.96166667,71.05833333,91.48833333
1771,81.58333333,77.94833333,70.02857143,80.17833333
1772,66.49166667,62.85333333,61.05238095,63.01
1773,34.775,44.095,48.72738095,42.19083333
1774,30.61666667,31.74166667,47.54166667,29.23416667
1775,7.008333333,36.94333333,57.93928571,25.6175
1776,19.81666667,60.86166667,66.4297619,46.32666667
1777,92.5,79.92333333,73.57619048,85.13
1778,154.3666667,95.48166667,78.9297619,115.8933333
1779,125.925,105.1366667,83.42261905,114.2625
1780,84.8,94.32833333,83.84880952,92.00583333
1781,68.09166667,68.015,72.08690476,66.76083333
1782,38.45833333,44.86333333,53.47738095,43.05833333
1783,22.8,32.72333333,47.32619048,28.06416667
1784,10.16666667,35.67833333,54.07261905,25.57916667
1785,24.1,54.39166667,63.04642857,43.72916667
1786,82.86666667,76.01333333,74.425,78.47916667
1787,132.025,97.60166667,84.00952381,109.7858333
1788,130.9083333,110.76,92.06904762,119.6658333
1789,118.1083333,107.5033333,97.20357143,111.2641667
1790,89.89166667,93.10666667,92.06547619,91.99
1791,66.58333333,76.305,79.06190476,73.12083333
1792,60.04166667,60.88333333,63.39880952,59.8025
1793,46.9,47.15833333,48.81428571,47.75333333
1794,41,37.045,36.88571429,37.63916667
1795,21.26666667,26.315,27.9547619,25.23916667
1796,16.01666667,17.74833333,20.34285714,16.445
1797,6.391666667,10.9,15.71071429,9.375833333
1798,4.066666667,9.541666667,14.71071429,7.305833333
1799,6.758333333,13.13833333,18.10595238,10.45083333
1800,14.475,20.86666667,21.96785714,18.85166667
1801,34,28.66333333,27.83571429,30.4825
1802,45.03333333,36.805,33.28928571,39.6175
1803,43.05,42.35833333,36.33928571,43.34416667
1804,47.46666667,41.18,35.70714286,43.35916667
1805,42.24166667,34.18333333,32.01309524,37.32166667
1806,28.10833333,27.20166667,25.94166667,27.2625
1807,10.05,18.215,19.79166667,15.7475
1808,8.141666667,9.766666667,13.21309524,8.584166667
1809,2.533333333,4.428333333,7.885714286,3.788333333
1810,0,3.408333333,5.611904762,2.099166667
1811,1.416666667,4.218333333,6.166666667,3.029166667
1812,4.95,6.498333333,10.06071429,6.095
1813,12.19166667,13.57833333,16.24285714,12.335
1814,13.93333333,22.45666667,22.10833333,20.1675
1815,35.4,29.67833333,26.19880952,31.43333333
1816,45.80833333,33.25,28.91547619,38.01333333
1817,41.05833333,35.25666667,29.40595238,37.53166667
1818,30.05,31.30166667,28.36071429,31.16833333
1819,23.96666667,23.46333333,23.8702381,23.48916667
1820,15.625,16.045,17.58214286,15.76833333
1821,6.616666667,10.39333333,12.81071429,9.140833333
1822,3.966666667,7.131666667,10.88928571,5.596666667
1823,1.791666667,7.326666667,12.64761905,5.363333333
1824,7.658333333,13.25833333,17.49761905,10.76583333
1825,16.6,22.38,25.7202381,20.56333333
1826,36.275,34.85666667,34.7202381,34.92833333
1827,49.575,46.71833333,44.59880952,48.27666667
1828,64.175,57.58666667,50.33571429,59.7
1829,66.96666667,59.895,51.89880952,63.54916667
1830,70.94166667,55.48833333,47.93571429,60.505
1831,47.81666667,44.36,42.7452381,46.37333333
1832,27.54166667,33.615,41.7,30.705
1833,8.533333333,30.79833333,49.48571429,22.0375
1834,13.24166667,45.52833333,59.10952381,33.27583333
1835,56.85833333,67.68166667,67.01428571,64.36916667
1836,121.4666667,86.605,75.3202381,99.25916667
1837,138.3083333,101.0933333,83.33809524,114.5008333
1838,103.15,102.6533333,86.6952381,104.6708333
1839,85.68333333,85.70833333,82.02857143,85.34
1840,64.65833333,62.885,66.20952381,63.0825
1841,36.74166667,44.40166667,48.59285714,42.10833333
1842,24.19166667,30.26333333,39.58095238,27.13666667
1843,10.73333333,25.345,36.12857143,19.81083333
1844,14.99166667,30.3,40.95595238,24.7275
1845,40.06666667,45.15166667,53.52142857,42.24666667
1846,61.51666667,67.945,63.82857143,66.27916667
1847,98.45,84.215,71.81190476,90.26416667
1848,124.7,89.525,78.88571429,101.6516667
1849,96.34166667,90.12333333,80.89404762,93.09583333
1850,66.61666667,81.25833333,77.68333333,76.69916667
1851,64.50833333,64.12666667,66.55952381,63.49
1852,54.125,48.975,49.70119048,51.08
1853,39.04166667,36.99,36.5547619,37.67833333
1854,20.58333333,24.95166667,30.28333333,23.22416667
1855,6.691666667,18.67,28.89761905,13.8325
1856,4.316666667,21.82333333,34.5702381,15.1475
1857,22.71666667,36.47333333,42.67738095,30.96416667
1858,54.80833333,54.29333333,50.76309524,55.24416667
1859,93.83333333,68.86666667,58.25,77.64333333
1860,95.79166667,76.14333333,63.92142857,83.91083333
1861,77.18333333,73.985,67.38333333,75.63666667
1862,59.1,64.60833333,63.90714286,62.15416667
1863,44.01666667,51.545,52.82857143,49.5825
1864,46.95,39.365,40.18333333,41.21666667
1865,30.475,29,34.52619048,29.96583333
1866,16.28333333,27.71333333,36.6547619,22.51666667
1867,7.275,33.12333333,50.21666667,24.13083333
1868,37.58333333,54.81833333,59.39761905,46.81166667
1869,74,73.805,69.55714286,76.75583333
1870,138.95,92.66833333,76.69285714,106.5408333
1871,111.2166667,98.39833333,82.03214286,106.6183333
1872,101.5916667,92.52833333,79.09404762,94.48666667
1873,66.23333333,68.14166667,70.13214286,68.565
1874,44.65,48.15166667,52.0547619,45.79583333
1875,17.01666667,30.315,36.65714286,25.85416667
1876,11.26666667,17.755,23.00119048,15.2
1877,12.40833333,10.025,18.1452381,10.205
1878,3.433333333,13.07,19.525,9.405833333
1879,6,21.67833333,25.60952381,16.20666667
1880,32.24166667,31.11833333,33.09047619,31.2625
1881,54.30833333,43.15833333,40.39047619,47.05666667
1882,59.60833333,54.66,47.32261905,57.00666667
1883,63.63333333,58.60333333,50.09761905,60.70333333
1884,63.50833333,52.82666667,47.35714286,57.025
1885,51.95833333,43.51666667,40.56309524,46.23916667
1886,25.425,32.14,32.93571429,30.19916667
1887,13.05833333,20.68166667,24.85238095,17.47583333
1888,6.75,11.7,20.86904762,9.8025
1889,6.216666667,13.74,23.86666667,10.115
1890,7.05,25.71666667,32.38928571,19.1575
1891,35.625,41.38333333,41.66785714,39.37833333
1892,72.94166667,55.74166667,49.84166667,61.82416667
1893,85.08333333,67.125,54.92619048,74.1825
1894,78.00833333,68.36166667,57.66785714,72.48833333
1895,63.96666667,59.02166667,56.3952381,60.6825
1896,41.80833333,47.34833333,47.7047619,45.2375
1897,26.24166667,34.16833333,36.90119048,31.80916667
1898,26.71666667,23.26666667,26.14880952,23.48333333
1899,12.10833333,15.45333333,17.73214286,14.97666667
1900,9.458333333,11.215,15.24285714,9.93
1901,2.741666667,10.74833333,17.48690476,7.6475
1902,5.05,16.71666667,22.73690476,12.58583333
1903,24.38333333,27.51833333,28.70119048,25.77416667
1904,41.95,37.74166667,36.21190476,40.24083333
1905,63.46666667,49.13833333,42.7547619,53.19
1906,53.85833333,53.97,48.30238095,55.6925
1907,62.03333333,54.35666667,47.47380952,56.02833333
1908,48.54166667,45.38,42.2952381,47.84416667
1909,43.88333333,35.74833333,33.74166667,37.75166667
1910,18.58333333,24.06,26.25357143,22.56333333
1911,5.7,14.64,18.76190476,11.2475
1912,3.591666667,7.781666667,18.59404762,5.6825
1913,1.441666667,13.53833333,20.47738095,8.52
1914,9.591666667,23.81166667,32.66428571,19.66416667
1915,47.36666667,43.87166667,43.36071429,42.81166667
1916,57.06666667,59.69833333,51.93452381,62.095
1917,103.8916667,70.50166667,57.10595238,80.1825
1918,80.575,68.55666667,59.46904762,75.20083333
1919,63.60833333,62.37,54.73690476,62.08916667
1920,37.64166667,44.44,47.40952381,42.48666667
1921,26.13333333,29.48,34.95595238,27.76833333
1922,14.24166667,20.10166667,29.775,17.51416667
1923,5.775,21.435,29.81428571,15.54583333
1924,16.71666667,28.985,34.3,24.51583333
1925,44.30833333,39.945,41.68214286,41.325
1926,63.88333333,54.35166667,48.91309524,57.67583333
1927,69.04166667,63.98,53.19166667,66.87166667
1928,77.80833333,62.26333333,53.83571429,67.86416667
1929,64.85833333,53.73166667,49.09761905,57.67666667
1930,35.725,42.15166667,40.7797619,40.40166667
1931,21.225,27.72166667,32.16190476,24.915
1932,11.14166667,16.49333333,26.19404762,14.2775
1933,5.658333333,16.555,28.31904762,11.96083333
1934,8.716666667,28.25666667,39.55833333,20.9125
1935,36.03333333,48.90833333,52.17619048,44.10916667
1936,79.73333333,69.68666667,63.26309524,73.80666667
1937,114.4,85.69333333,72.13809524,96.095
1938,109.55,92.04333333,77.67619048,99.20166667
1939,88.75,85.59333333,76.9,87.155
1940,67.78333333,68.83333333,67.84285714,68.375
1941,47.48333333,50.19,52.8702381,49.17833333
1942,30.6,34.35833333,41.94761905,32.74083333
1943,16.33333333,27.42,42.48452381,22.62916667
1944,9.591666667,36.425,54.4452381,26.0325
1945,33.09166667,60.60666667,67.11904762,50.44083333
1946,92.50833333,84.58,82.05,88.5025
1947,151.5083333,109.685,91.70595238,123.1658333
1948,136.2,119.8516667,100.2535714,129.4483333
1949,135.1166667,115.235,100.0130952,120.165
1950,83.925,91.215,88.77619048,91.23916667
1951,69.425,66.745,67.76190476,65.73333333
1952,31.40833333,40.60333333,53.72619048,38.05166667
1953,13.85,31.40833333,54.66785714,23.44083333
1954,4.408333333,45.865,69.80119048,29.435
1955,37.95,77.555,86.25357143,64.77416667
1956,141.7083333,111.7033333,104.4452381,121.145
1957,189.8583333,142.5716667,118.5059524,160.8733333
1958,184.5916667,157.4366667,125.5738095,168.9566667
1959,158.75,139.8716667,125.5238095,147.2475
1960,112.275,109.42,109.2642857,109.6558333
1961,53.88333333,78.08,83.59880952,70.1925
1962,37.6,48.37,59.38095238,43.6425
1963,27.89166667,28.92833333,43.39880952,27.61166667
1964,10.2,27.52666667,40.74047619,21.11916667
1965,15.06666667,38.74,48.1702381,29.5975
1966,46.875,54.34,57.87857143,52.10583333
1967,93.66666667,73.41166667,68.85,80.0825
1968,105.8916667,91.33666667,76.91428571,97.35833333
1969,105.5583333,95.29166667,84.60952381,100.3716667
1970,104.6916667,90.345,83.36309524,93.80083333
1971,66.65,76.79666667,74.89761905,75.75583333
1972,68.93333333,62.56666667,61.97857143,62.44333333
1973,38.15,44.72,48.69166667,44.13916667
1974,34.40833333,33.9,37.66190476,32.63333333
1975,15.45833333,25.61,41.37738095,22.13833333
1976,12.55,36.51166667,53.71190476,26.315
1977,27.48333333,60.685,70.3547619,49.10833333
1978,92.65833333,88.52333333,85.50357143,90.335
1979,155.275,114.1033333,99.90833333,128.365
1980,154.65,131.865,107.6357143,141.9
1981,140.45,126.6616667,110.2595238,132.56
1982,116.2916667,104.7766667,99.58571429,107.985
1983,66.64166667,77.435,79.31785714,74.92416667
1984,45.85,52.025,61.4,48.22583333
1985,17.94166667,34.61166667,55.62142857,28.61333333
1986,13.4,41.28333333,61.55,29.37833333
1987,29.225,63.67166667,72.35714286,51.94333333
1988,100,88.54166667,86.63214286,92.9725
1989,157.7916667,115.0166667,97.56666667,129.075
1990,142.2916667,128.0683333,103.4714286,137.0783333
1991,145.775,119.015,103.5630952,126.9175
1992,94.48333333,93.43,91.77738095,95.11083333
1993,54.73333333,68.47166667,70.46785714,63.09083333
1994,29.86666667,41.04166667,53.20952381,36.70416667
1995,17.5,26.44166667,41.55714286,22.32
1996,8.625,28.33666667,41.3702381,20.65416667
1997,21.48333333,40.99833333,50.62738095,34.2275
1998,64.20833333,61.405,62.20714286,61.43083333
1999,93.175,81.865,74.57738095,87.25916667
2000,119.5333333,98.38666667,82.42619048,105.4633333
2001,110.925,98.25833333,85.13452381,104.7691667
2002,104.0916667,87.71166667,80.21666667,92.5325
2003,63.56666667,69.76166667,69.075,68.40416667
2004,40.44166667,50.61333333,53.0702381,46.77416667
2005,29.78333333,31.295,37.63333333,30.145
2006,15.18333333,19.155,23.20595238,17.86083333
2007,7.5,11.68666667,16.48095238,9.898333333
2008,2.866666667,9.028333333,18.64642857,6.434166667
2009,3.1,17.11166667,22.61785714,11.42166667
2010,16.49166667,27.12833333,29.68690476,24.38166667
2011,55.6,39.48833333,39.91309524,43.83166667
2012,57.58333333,54.685,49.47261905,56.64416667
2013,64.66666667,65.34333333,54.71904762,65.73833333
2014,79.08333333,62.18833333,,68.26416667
2015,69.78333333,,,
2016,39.825,,,
